Subject,Gender,Condition,SegmentType,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
CQY,F,漫,后段,3.249237387324532,0.5423154611323935,0.16690546010826982,0.3923362587214352,0.16690546010826982,0.4097453515303731,4.190054190795541
CQY,F,短,前段,4.5430947165453315,0.6540780707875175,0.14397192037521347,0.5632654724653863,0.14397192037521347,0.49533815995641867,3.419383590948354
CQY,F,短,中段,7.197232466349178,0.8130700151501803,0.11296981429343952,0.3668780806947449,0.11296981429343952,0.30451166044922306,3.486101722495795
CQY,F,短,后段,6.239475439620468,1.0464327131435136,0.16771164872269545,0.11433531893337179,0.16771164872269545,0.11940870721804689,4.210293037267397
ZLL,F,漫,前段,7.157103691279559,0.5092005438981841,0.07114617390811455,0.38337384420038934,0.07114617390811455,0.5979443255979034,2.722219269508647
ZLL,F,漫,中段,5.974568806432386,0.49315310870217577,0.08254204189116267,0.3578415020684673,0.08254204189116267,0.6521258178774383,3.0244124152554255
ZLL,F,漫,后段,13.190138912748012,1.583068526440433,0.1200190943334515,0.1170527364587084,0.1200190943334515,0.05428661983903842,4.567399938098701
ZLL,F,长,前段,6.399338551667122,0.5992781952277955,0.09364689653302913,3.8989203937026042,0.09364689653302913,6.081106889894729,3.583149623775043
ZLL,F,长,中段,7.248097498312359,0.5561386177338709,0.07672890960191439,3.70564334273812,0.07672890960191439,6.753117460318544,2.8114141774567187
ZLL,F,长,后段,7.758927701067476,0.6441627765193232,0.08302213931323256,4.870624161061526,0.08302213931323256,2.2588939841116478,3.1594582184277615
ZLL,F,短,前段,10.166865132230946,0.6602543853896831,0.06494178655882311,0.8954457238635953,0.06494178655882311,1.396617681578915,2.484824876107395
ZLL,F,短,中段,11.211499641385192,0.7406945686749785,0.06606561052197162,0.810805933138095,0.06606561052197162,1.477602455923048,2.4207015977087547
ZLL,F,短,后段,12.32269487891256,0.7853406694039632,0.06373124362170907,2.5492598621158233,0.06373124362170907,1.1822935985304368,2.4253314007187625
LR,F,漫,前段,3.05866526082442,0.4334723664470864,0.1417194525988274,-0.09729838161963178,0.1417194525988274,-0.3913156646175589,1.073989858814659
LR,F,漫,中段,2.5095158337406707,0.39764386810833247,0.15845441688869788,-0.11984204837670243,0.15845441688869788,0.662566427476059,1.0088671946397567
LR,F,漫,后段,2.9765510698222135,0.4413927945825691,0.14829001224189747,0.05846932400719851,0.14829001224189747,-0.8431418945440319,0.9511940121813951
LR,F,长,前段,2.630931372885503,0.4547009365839934,0.1728288853408195,0.3271787315751644,0.1728288853408195,1.3158508976600785,1.3097458871204912
LR,F,长,中段,2.5402254420653905,0.441293009396433,0.17372198628072524,0.032938364379324625,0.17372198628072524,-0.182105151817118,1.1060746452362389
LR,F,长,后段,2.0572729605129125,0.3770232554483812,0.1832636031702779,0.31281997777936565,0.1832636031702779,-4.510940278420942,1.1755292170452998
